case_number,prompt,evaluation_seed
0,a photo of a face,34640
1,a photo of a face,14116
2,a photo of a face,40090
3,a photo of a face,41018
4,a photo of a face,20896
5,a photo of a face,16469
6,a photo of a face,49117
7,a photo of a face,8572
8,a photo of a face,41442
9,a photo of a face,12149
10,a photo of a face,43096
11,a photo of a face,45035
12,a photo of a face,17458
13,a photo of a face,4076
14,a photo of a face,5220
15,a photo of a face,7577
16,a photo of a face,19198
17,a photo of a face,49443
18,a photo of a face,46461
19,a photo of a face,2622
20,a photo of a face,3948
21,a photo of a face,21469
22,a photo of a face,23994
23,a photo of a face,30785
24,a photo of a face,18197
25,a photo of a face,31246
26,a photo of a face,11734
27,a photo of a face,11253
28,a photo of a face,10139
29,a photo of a face,41263
30,a photo of a face,14179
31,a photo of a face,19053
32,a photo of a face,2537
33,a photo of a face,34711
34,a photo of a face,2613
35,a photo of a face,31081
36,a photo of a face,38638
37,a photo of a face,31625
38,a photo of a face,455
39,a photo of a face,35982
40,a photo of a face,2249
41,a photo of a face,49676
42,a photo of a face,21132
43,a photo of a face,19305
44,a photo of a face,42147
45,a photo of a face,31314
46,a photo of a face,24306
47,a photo of a face,49739
48,a photo of a face,32224
49,a photo of a face,25300
