case_number,prompt,evaluation_seed
0,a photo of a face,16931
1,a photo of a face,1362
2,a photo of a face,9030
3,a photo of a face,26717
4,a photo of a face,827
5,a photo of a face,6136
6,a photo of a face,26718
7,a photo of a face,45564
8,a photo of a face,22440
9,a photo of a face,29414
10,a photo of a face,7273
11,a photo of a face,8168
12,a photo of a face,43167
13,a photo of a face,15746
14,a photo of a face,1614
15,a photo of a face,42414
16,a photo of a face,16654
17,a photo of a face,28041
18,a photo of a face,45710
19,a photo of a face,25415
20,a photo of a face,83
21,a photo of a face,13183
22,a photo of a face,38314
23,a photo of a face,21653
24,a photo of a face,25939
25,a photo of a face,16122
26,a photo of a face,33511
27,a photo of a face,36081
28,a photo of a face,31576
29,a photo of a face,36806
30,a photo of a face,31696
31,a photo of a face,42826
32,a photo of a face,9805
33,a photo of a face,15744
34,a photo of a face,29184
35,a photo of a face,35942
36,a photo of a face,46437
37,a photo of a face,15084
38,a photo of a face,29650
39,a photo of a face,46949
40,a photo of a face,2463
41,a photo of a face,35446
42,a photo of a face,24834
43,a photo of a face,40075
44,a photo of a face,6729
45,a photo of a face,47721
46,a photo of a face,43350
47,a photo of a face,24744
48,a photo of a face,26895
49,a photo of a face,3149
